result,object,exe_time,cycle
8,1,102,-119
8,1,100,-105
8,1,100,-108
4,1,96,-121
8,1,97,-120
8,1,98,-118
8,1,98,-101
8,1,100,-105
8,1,86,-88
8,1,99,-134
8,1,98,-115
8,1,100,-104
8,2,104,-117
8,2,98,-134
8,2,95,-118
8,2,99,-124
4,2,104,-104
4,2,103,-136
4,2,98,-112
4,2,99,-100
8,2,103,-122
8,2,98,-132
8,2,97,-105
8,2,99,-109
8,2,101,-101
8,2,100,-107
8,2,101,-110
8,1,102,-142
8,1,97,-103
8,1,95,-101
8,1,96,-120
8,1,98,-99
8,1,100,-137
8,1,100,-100
8,1,98,-132
8,1,103,-112
8,1,105,-130
8,1,95,-103
8,2,100,-535
8,2,98,-99
8,2,97,-110
8,2,95,-96
8,1,99,-123
8,1,96,-96
8,2,83,-124
8,2,83,-84
8,2,86,-96
8,1,83,-92
8,1,82,-104
8,1,84,-99
8,1,82,-83
8,1,85,-111
8,1,82,-83
8,1,84,-107
8,1,84,-87
8,1,84,-86
8,1,81,-85
8,1,80,-100
8,1,84,-109
8,1,81,-82
8,1,80,-98
8,1,83,-85
4,1,81,-109
8,1,82,-82
8,2,81,-108
8,2,84,-101
8,1,81,-109
8,1,80,-91
8,1,82,-95
8,1,83,-99
8,1,79,-85
8,1,83,-83
8,1,84,-107
8,1,81,-93
8,1,79,-93
8,1,80,-95
8,1,81,-103
8,1,81,-86
8,1,82,-87
8,1,82,-94
8,1,86,-105
8,1,84,-90
8,1,86,-99
8,1,81,-87
8,1,81,-97
8,1,78,-92
8,1,81,-100
8,1,79,-113
8,1,75,-83
8,1,72,-81
8,1,77,-78
8,1,74,-108
8,1,75,-76
8,1,71,-78
8,1,73,-91
8,1,73,-74
8,1,76,-82
8,1,73,-88
8,1,75,-93
8,1,71,-90
8,1,72,-74
8,1,73,-90
8,1,71,-106
8,1,71,-76
8,1,78,-94
8,1,75,-97
8,1,72,-89
8,1,78,-95
8,1,74,-88
8,1,76,-76
8,1,73,-77
8,1,73,-76
8,1,72,-83
8,1,71,-113
8,1,72,-73
8,1,75,-91
8,1,73,-74
8,1,75,-88
8,1,72,-97
8,1,72,-97
8,1,71,-92
8,1,71,-74
8,1,71,-75
8,1,71,-72
8,1,71,-83
8,1,72,-73
8,1,70,-71
8,1,75,-78
8,1,96,-100
8,1,95,-109
8,1,96,-99
8,1,94,-94
8,1,78,-102
8,1,101,-126
8,1,97,-116
8,1,95,-96
8,1,98,-116
8,1,95,-99
8,1,94,-122
8,1,94,-95
8,1,95,-118
8,1,97,-100
8,1,97,-103
8,1,99,-121
8,1,93,-96
8,1,99,-127
8,1,98,-99
8,1,99,-127
8,1,97,-113
8,1,99,-132
8,1,97,-112
8,2,101,-118
8,2,99,-99
8,2,105,-113
8,1,105,-109
8,2,96,-115
8,2,95,-95
8,2,97,-111
8,1,98,-98
8,1,97,-98
8,2,96,-119
8,2,88,-112
8,2,98,-112
8,1,98,-114
8,1,98,-112
8,1,96,-110
8,1,97,-127
8,1,95,-100
8,1,100,-116
8,1,99,-99
8,1,93,-113
8,1,98,-109
8,2,95,-118
8,2,96,-97
8,2,96,-110
8,2,97,-130
8,2,97,-105
8,2,98,-101
8,2,99,-99
8,2,97,-115
8,3,93,-99
8,3,98,-108
8,3,101,-127
8,3,97,-98
8,2,99,-107
8,2,97,-98
8,2,97,-116
8,3,99,-102
8,2,95,-101
8,2,98,-102
8,2,98,-130
8,2,99,-128
8,2,100,-101
8,2,102,-116
8,3,98,-138
8,3,84,-84
8,3,86,-86
4,2,91,-131
4,2,85,-104
4,2,86,-87
8,2,99,-108
8,1,100,-108
8,1,97,-123
8,1,100,-108
8,1,99,-130
8,1,100,-113
8,1,96,-121
8,1,98,-117
8,1,99,-119
8,1,95,-95
8,1,95,-113
8,1,99,-99
8,1,97,-102
8,1,96,-113
8,1,99,-142
4,1,96,-109
4,2,96,-122
4,2,99,-112
8,2,96,-125
8,2,102,-103
8,2,99,-129
8,2,102,-108
8,2,101,-101
8,2,100,-120
8,2,105,-106
8,1,100,-142
8,2,95,-109
8,2,98,-127
8,2,101,-120
8,2,98,-107
8,1,102,-104
8,1,102,-119
8,1,99,-99
8,1,101,-115
4,1,95,-100
8,1,99,-103
8,1,99,-112
8,1,98,-99
8,1,98,-108
8,1,103,-105
8,1,97,-117
8,1,100,-102
8,1,99,-99
8,2,97,-106
8,2,97,-99
8,2,102,-123
8,2,100,-100
4,2,101,-134
8,2,102,-104
4,2,101,-115
4,2,105,-126
8,2,101,-130
8,2,98,-99
8,2,94,-103
8,2,86,-95
8,2,101,-102
8,2,103,-104
8,2,102,-124
8,1,102,-161
8,1,100,-119
8,1,97,-106
8,1,98,-99
8,1,99,-125
8,1,97,-108
8,1,95,-104
8,1,98,-120
8,1,99,-161
8,1,96,-100
8,1,99,-114
8,2,105,-563
8,2,91,-111
8,2,91,-92
8,2,92,-100
8,1,90,-94
8,1,90,-96
8,1,91,-94
8,2,91,-100
8,1,92,-117
8,1,97,-105
8,1,92,-108
8,1,91,-92
8,1,95,-97
8,1,90,-97
8,2,94,-128
8,1,96,-105
8,1,95,-117
8,1,91,-95
8,1,89,-96
8,1,94,-111
8,1,91,-108
8,1,88,-110
8,1,87,-89
4,1,89,-99
8,1,96,-96
8,2,95,-101
8,2,93,-96
8,2,92,-113
8,1,100,-102
8,1,93,-94
8,1,89,-91
8,1,89,-90
8,1,90,-112
8,1,90,-91
8,1,89,-95
8,1,93,-97
8,1,92,-136
8,1,87,-90
8,1,90,-95
8,1,88,-89
8,1,90,-97
8,1,91,-105
8,1,91,-92
8,1,94,-96
8,1,90,-97
8,1,94,-94
8,1,88,-93
8,1,91,-95
8,1,89,-94
8,1,85,-94
8,1,86,-101
8,1,83,-108
8,1,71,-81
8,1,73,-97
8,1,72,-99
8,1,73,-86
8,1,74,-75
8,1,70,-81
8,1,72,-90
8,1,69,-90
8,1,73,-73
8,1,71,-72
8,1,72,-80
8,1,73,-81
8,1,72,-87
8,1,72,-105
8,1,72,-95
8,1,74,-74
8,1,75,-77
8,1,74,-76
8,1,71,-74
8,1,70,-92
8,1,73,-74
8,1,75,-84
8,1,75,-93
8,1,71,-96
8,1,71,-88
8,1,73,-100
8,1,70,-94
8,1,70,-89
8,1,72,-91
8,1,71,-99
